date,portfolio_value,cash,positions
20170822,1000000,1000000,{}
20170823,1000000,1000000,{}
20170824,1000000,1000000,{}
20170825,1000000,1000000,{}
20170828,1000000,1000000,{}
20170829,1000000,1000000,{}
20170830,1000000,1000000,{}
20170831,1000000,1000000,{}
20170901,1000000,1000000,{}
20170905,1000000,1000000,{}
20170906,1000000,1000000,{}
20170907,1000000,1000000,{}
20170908,1000000,1000000,{}
20170911,1000000,1000000,{}
20170912,1000000,1000000,{}
20170913,1000000,1000000,{}
20170914,1000000,1000000,{}
20170915,1000000,1000000,{}
20170918,1000000,1000000,{}
20170919,1000000,1000000,{}
20170920,1000000,1000000,{}
20170921,1000000,1000000,{}
20170922,1000000,1000000,{}
20170925,1000000,1000000,{}
20170926,1000000,1000000,{}
20170927,1000000,1000000,{}
20170928,1000000,1000000,{}
20170929,1000000,1000000,{}
20171002,1000000,1000000,{}
20171003,1000000,1000000,{}
20171004,1000000,1000000,{}
20171005,1000000,1000000,{}
20171006,1000000,1000000,{}
20171009,1000000,1000000,{}
20171010,1000000,1000000,{}
20171011,1000000,1000000,{}
20171012,1000000,1000000,{}
20171013,1000000,1000000,{}
20171016,1000000,1000000,{}
20171017,1000000,1000000,{}
20171018,1000000,1000000,{}
20171019,1000000,1000000,{}
20171020,1000000,1000000,{}
20171023,1000000,1000000,{}
20171024,1000000,1000000,{}
20171025,1000000,1000000,{}
20171026,1000000,1000000,{}
20171027,1000000,1000000,{}
20171030,1000000,1000000,{}
20171031,1000000,1000000,{}
20171101,1000000,1000000,{}
20171102,1000000,1000000,{}
20171103,1000000,1000000,{}
20171106,1000000,1000000,{}
20171107,1000000,1000000,{}
20171108,1000000,1000000,{}
20171109,1000000,1000000,{}
20171110,1000000,1000000,{}
20171113,1000000,1000000,{}
20171114,1000000,1000000,{}
20171115,1000000,1000000,{}
20171116,1000000,1000000,{}
20171117,1000000,1000000,{}
20171120,1000000,1000000,{}
20171121,1000000,1000000,{}
20171122,1000000,1000000,{}
20171124,1000000,1000000,{}
20171127,1000000,1000000,{}
20171128,1000000,1000000,{}
20171129,1000000,1000000,{}
20171130,1000000,1000000,{}
20171201,1000000,1000000,{}
20171204,1000000,1000000,{}
20171205,1000000,1000000,{}
20171206,1000000,1000000,{}
20171207,1000000,1000000,{}
20171208,1000000,1000000,{}
20171211,1000000,1000000,{}
20171212,1000000,1000000,{}
20171213,1000000,1000000,{}
20171214,1000000,1000000,{}
20171215,1000000,1000000,{}
20171218,1000000,1000000,{}
20171219,1000000,1000000,{}
20171220,1000000,1000000,{}
20171221,1000000,1000000,{}
20171222,1000000,1000000,{}
20171226,1000000,1000000,{}
20171227,1000000,1000000,{}
20171228,1000000,1000000,{}
20171229,1000000,1000000,{}
20180102,1000000,1000000,{}
20180103,1000000,1000000,{}
20180104,1000000,1000000,{}
20180105,1000000,1000000,{}
20180108,1000000,1000000,{}
20180109,1000000,1000000,{}
20180110,1000000,1000000,{}
20180111,1000000,1000000,{}
20180112,1000000,1000000,{}
20180116,1000000,1000000,{}
20180117,1000000,1000000,{}
20180118,1000000,1000000,{}
20180119,1000000,1000000,{}
20180122,1000000,1000000,{}
20180123,1000000,1000000,{}
20180124,1000000,1000000,{}
20180125,1000000,1000000,{}
20180126,1000000,1000000,{}
20180129,1000000,1000000,{}
20180130,1000000,1000000,{}
20180131,1000000,1000000,{}
20180201,1000000,1000000,{}
20180202,1000000,1000000,{}
20180205,1000000,1000000,{}
20180206,1000000,1000000,{}
20180207,1000000,1000000,{}
20180208,1000000,1000000,{}
20180209,1000000,1000000,{}
20180212,1000000,1000000,{}
20180213,1000000,1000000,{}
20180214,1000000,1000000,{}
20180215,1000000,1000000,{}
20180216,1000000,1000000,{}
20180220,1000000,1000000,{}
20180221,1000000,1000000,{}
20180222,1000000,1000000,{}
20180223,1000000,1000000,{}
20180226,1000000,1000000,{}
