type,stock,price,quantity,cost,date,proceeds
SELL,JPT,79.5620399257908,381,,2026-04-28,30313.137211726294
SELL,RCP,100.0,381,,2026-04-28,38100.0
SELL,TROV,96.00000452112269,442,,2026-04-28,42432.00199833623
SELL,PBC,96.00000719786532,317,,2026-04-28,30432.002281723304
BUY,FHB,100.26804650988194,339,33990.86776684998,2026-04-28,
BUY,CCB,118.52576755852529,287,34016.89528929676,2026-04-28,
BUY,WEI,100.0,340,34000.0,2026-04-28,
BUY,YIN,97.22221772201117,350,34027.776202703906,2026-04-28,
BUY,MFINL,101.97084621129333,333,33956.29178836068,2026-04-28,
BUY,LSXMK,98.79889320915771,344,33986.81926395025,2026-04-28,
BUY,EMP,118.52576755852529,287,34016.89528929676,2026-04-28,
BUY,SG,100.0,340,34000.0,2026-04-28,
SELL,EVLMC,100.03999360472349,381,,2026-04-28,38115.23756339965
SELL,MTC,100.0,381,,2026-04-28,38100.0
SELL,FHB,98.73314856174152,339,,2026-04-28,33470.537362430376
SELL,CCB,79.10828170178992,287,,2026-04-28,22704.076848413708
SELL,WEI,100.0,340,,2026-04-28,34000.0
SELL,YIN,101.42857380909133,350,,2026-04-28,35500.00083318197
SELL,MFINL,100.69576043512289,333,,2026-04-28,33531.68822489592
SELL,LSXMK,96.2905162921335,344,,2026-04-28,33123.93760449393
SELL,EMP,104.69913450251414,287,,2026-04-28,30048.65160222156
SELL,SG,100.0,340,,2026-04-28,34000.0
BUY,AIO,102.94921977939589,360,37061.71912058252,2026-04-28,
BUY,HMI,81.66666560702853,453,36994.999519983925,2026-04-28,
BUY,OAC,93.87755365805643,394,36987.756141274236,2026-04-28,
BUY,SAF,117.64705933914053,315,37058.82369182927,2026-04-28,
BUY,RRR,102.15901947347743,362,36981.56504939883,2026-04-28,
BUY,PECK,100.0,370,37000.0,2026-04-28,
BUY,NTLA,102.09709093408676,363,37061.244009073496,2026-04-28,
BUY,AYTU,117.64705933914053,315,37058.82369182927,2026-04-28,
BUY,EQ,100.0,370,37000.0,2026-04-28,
BUY,GIX,117.64705933914053,315,37058.82369182927,2026-04-28,
SELL,AIO,102.94921977939589,360,,2026-04-28,37061.71912058252
SELL,HMI,82.63158274489432,453,,2026-04-28,37432.10698343712
SELL,OAC,93.87755365805643,394,,2026-04-28,36987.756141274236
SELL,SAF,82.63158274489432,315,,2026-04-28,26028.94856464171
SELL,RRR,100.92783042981017,362,,2026-04-28,36535.87461559128
