date,portfolio_value,cash,positions
20161006,1383561.0141053947,683496.5742660951,"{'STXS': {'quantity': 0, 'avg_cost': 103.44827255463724, 'current_price': 95.55555967637062}, 'DRNA': {'quantity': 0, 'avg_cost': 81.18159746631115, 'current_price': 93.46404834941629}, 'INPX': {'quantity': 0, 'avg_cost': 85.19553072625698, 'current_price': 90.1639344262295}, 'MEC': {'quantity': 0, 'avg_cost': 81.18159746631115, 'current_price': 100.0}, 'MRUS': {'quantity': 0, 'avg_cost': 107.40298370816814, 'current_price': 97.33185353894814}, 'BKYI': {'quantity': 0, 'avg_cost': 107.40740767994808, 'current_price': 93.10344803961695}, 'SVVC': {'quantity': 0, 'avg_cost': 105.73248733543188, 'current_price': 95.06023907592092}, 'DTP': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'MRCY': {'quantity': 0, 'avg_cost': 99.38950093449992, 'current_price': 95.65929785982516}, 'STG': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}}"
20161007,1366331.523666481,683725.1735070936,"{'ROSEU': {'quantity': 0, 'avg_cost': 100.09452012243807, 'current_price': 100.0}, 'EXPR': {'quantity': 0, 'avg_cost': 93.62029278167513, 'current_price': 97.04433003832865}, 'WLFC': {'quantity': 0, 'avg_cost': 103.47167141968924, 'current_price': 104.3193170794572}, 'FLY': {'quantity': 0, 'avg_cost': 97.4693843296596, 'current_price': 101.34004025719815}, 'LBC': {'quantity': 0, 'avg_cost': 111.73368304986941, 'current_price': 85.3658484580521}, 'LGL': {'quantity': 0, 'avg_cost': 93.86363693012679, 'current_price': 99.27360268820694}, 'PAE': {'quantity': 0, 'avg_cost': 95.98130555910484, 'current_price': 101.05160843539167}, 'VECO': {'quantity': 0, 'avg_cost': 99.81768042591776, 'current_price': 97.03196516049117}, 'MDGL': {'quantity': 0, 'avg_cost': 96.45389847066038, 'current_price': 104.16666861453092}, 'ORN': {'quantity': 0, 'avg_cost': 98.78048575620234, 'current_price': 111.65981324989838}}"
20161010,1331888.2540384703,683725.1735070936,"{'ROSEU': {'quantity': 0, 'avg_cost': 100.09452012243807, 'current_price': 100.0}, 'EXPR': {'quantity': 0, 'avg_cost': 93.62029278167513, 'current_price': 97.04433003832865}, 'WLFC': {'quantity': 0, 'avg_cost': 103.47167141968924, 'current_price': 104.3193170794572}, 'FLY': {'quantity': 0, 'avg_cost': 97.4693843296596, 'current_price': 101.34004025719815}, 'LBC': {'quantity': 0, 'avg_cost': 111.73368304986941, 'current_price': 85.3658484580521}, 'LGL': {'quantity': 0, 'avg_cost': 93.86363693012679, 'current_price': 99.27360268820694}, 'PAE': {'quantity': 0, 'avg_cost': 95.98130555910484, 'current_price': 101.05160843539167}, 'VECO': {'quantity': 0, 'avg_cost': 99.81768042591776, 'current_price': 97.03196516049117}, 'MDGL': {'quantity': 0, 'avg_cost': 96.45389847066038, 'current_price': 104.16666861453092}, 'ORN': {'quantity': 0, 'avg_cost': 98.78048575620234, 'current_price': 111.65981324989838}}"
20161011,1349918.5853411676,683725.1735070936,"{'ROSEU': {'quantity': 0, 'avg_cost': 100.09452012243807, 'current_price': 100.0}, 'EXPR': {'quantity': 0, 'avg_cost': 93.62029278167513, 'current_price': 97.04433003832865}, 'WLFC': {'quantity': 0, 'avg_cost': 103.47167141968924, 'current_price': 104.3193170794572}, 'FLY': {'quantity': 0, 'avg_cost': 97.4693843296596, 'current_price': 101.34004025719815}, 'LBC': {'quantity': 0, 'avg_cost': 111.73368304986941, 'current_price': 85.3658484580521}, 'LGL': {'quantity': 0, 'avg_cost': 93.86363693012679, 'current_price': 99.27360268820694}, 'PAE': {'quantity': 0, 'avg_cost': 95.98130555910484, 'current_price': 101.05160843539167}, 'VECO': {'quantity': 0, 'avg_cost': 99.81768042591776, 'current_price': 97.03196516049117}, 'MDGL': {'quantity': 0, 'avg_cost': 96.45389847066038, 'current_price': 104.16666861453092}, 'ORN': {'quantity': 0, 'avg_cost': 98.78048575620234, 'current_price': 111.65981324989838}}"
20161012,1375956.7920033461,683725.1735070936,"{'ROSEU': {'quantity': 0, 'avg_cost': 100.09452012243807, 'current_price': 100.0}, 'EXPR': {'quantity': 0, 'avg_cost': 93.62029278167513, 'current_price': 97.04433003832865}, 'WLFC': {'quantity': 0, 'avg_cost': 103.47167141968924, 'current_price': 104.3193170794572}, 'FLY': {'quantity': 0, 'avg_cost': 97.4693843296596, 'current_price': 101.34004025719815}, 'LBC': {'quantity': 0, 'avg_cost': 111.73368304986941, 'current_price': 85.3658484580521}, 'LGL': {'quantity': 0, 'avg_cost': 93.86363693012679, 'current_price': 99.27360268820694}, 'PAE': {'quantity': 0, 'avg_cost': 95.98130555910484, 'current_price': 101.05160843539167}, 'VECO': {'quantity': 0, 'avg_cost': 99.81768042591776, 'current_price': 97.03196516049117}, 'MDGL': {'quantity': 0, 'avg_cost': 96.45389847066038, 'current_price': 104.16666861453092}, 'ORN': {'quantity': 0, 'avg_cost': 98.78048575620234, 'current_price': 111.65981324989838}}"
20161013,1372750.3425504672,683725.1735070936,"{'ROSEU': {'quantity': 0, 'avg_cost': 100.09452012243807, 'current_price': 100.0}, 'EXPR': {'quantity': 0, 'avg_cost': 93.62029278167513, 'current_price': 97.04433003832865}, 'WLFC': {'quantity': 0, 'avg_cost': 103.47167141968924, 'current_price': 104.3193170794572}, 'FLY': {'quantity': 0, 'avg_cost': 97.4693843296596, 'current_price': 101.34004025719815}, 'LBC': {'quantity': 0, 'avg_cost': 111.73368304986941, 'current_price': 85.3658484580521}, 'LGL': {'quantity': 0, 'avg_cost': 93.86363693012679, 'current_price': 99.27360268820694}, 'PAE': {'quantity': 0, 'avg_cost': 95.98130555910484, 'current_price': 101.05160843539167}, 'VECO': {'quantity': 0, 'avg_cost': 99.81768042591776, 'current_price': 97.03196516049117}, 'MDGL': {'quantity': 0, 'avg_cost': 96.45389847066038, 'current_price': 104.16666861453092}, 'ORN': {'quantity': 0, 'avg_cost': 98.78048575620234, 'current_price': 111.65981324989838}}"
20161014,1375914.2002218189,688468.2984306593,"{'GOL': {'quantity': 0, 'avg_cost': 112.89612974941386, 'current_price': 96.88108469523904}, 'NIU': {'quantity': 0, 'avg_cost': 111.35931219415794, 'current_price': 111.35931219415794}, 'VMD': {'quantity': 0, 'avg_cost': 93.03030303030303, 'current_price': 106.84039087947883}, 'NET': {'quantity': 0, 'avg_cost': 95.34883720930233, 'current_price': 77.66666412353516}, 'MEC': {'quantity': 0, 'avg_cost': 85.3658484580521, 'current_price': 114.65720763034142}, 'MHNC': {'quantity': 0, 'avg_cost': 100.03751520360578, 'current_price': 100.11243614694334}, 'XSPA': {'quantity': 0, 'avg_cost': 89.57746263960716, 'current_price': 90.88050412545125}, 'DLY': {'quantity': 0, 'avg_cost': 116.2377630914008, 'current_price': 116.2377630914008}, 'VLRS': {'quantity': 0, 'avg_cost': 104.49260242094157, 'current_price': 96.68448762599974}, 'RNET': {'quantity': 0, 'avg_cost': 101.46627572543576, 'current_price': 89.88439813004855}}"
20161017,1384312.8686989045,688468.2984306593,"{'GOL': {'quantity': 0, 'avg_cost': 112.89612974941386, 'current_price': 96.88108469523904}, 'NIU': {'quantity': 0, 'avg_cost': 111.35931219415794, 'current_price': 111.35931219415794}, 'VMD': {'quantity': 0, 'avg_cost': 93.03030303030303, 'current_price': 106.84039087947883}, 'NET': {'quantity': 0, 'avg_cost': 95.34883720930233, 'current_price': 77.66666412353516}, 'MEC': {'quantity': 0, 'avg_cost': 85.3658484580521, 'current_price': 114.65720763034142}, 'MHNC': {'quantity': 0, 'avg_cost': 100.03751520360578, 'current_price': 100.11243614694334}, 'XSPA': {'quantity': 0, 'avg_cost': 89.57746263960716, 'current_price': 90.88050412545125}, 'DLY': {'quantity': 0, 'avg_cost': 116.2377630914008, 'current_price': 116.2377630914008}, 'VLRS': {'quantity': 0, 'avg_cost': 104.49260242094157, 'current_price': 96.68448762599974}, 'RNET': {'quantity': 0, 'avg_cost': 101.46627572543576, 'current_price': 89.88439813004855}}"
20161018,1423863.378098962,688468.2984306593,"{'GOL': {'quantity': 0, 'avg_cost': 112.89612974941386, 'current_price': 96.88108469523904}, 'NIU': {'quantity': 0, 'avg_cost': 111.35931219415794, 'current_price': 111.35931219415794}, 'VMD': {'quantity': 0, 'avg_cost': 93.03030303030303, 'current_price': 106.84039087947883}, 'NET': {'quantity': 0, 'avg_cost': 95.34883720930233, 'current_price': 77.66666412353516}, 'MEC': {'quantity': 0, 'avg_cost': 85.3658484580521, 'current_price': 114.65720763034142}, 'MHNC': {'quantity': 0, 'avg_cost': 100.03751520360578, 'current_price': 100.11243614694334}, 'XSPA': {'quantity': 0, 'avg_cost': 89.57746263960716, 'current_price': 90.88050412545125}, 'DLY': {'quantity': 0, 'avg_cost': 116.2377630914008, 'current_price': 116.2377630914008}, 'VLRS': {'quantity': 0, 'avg_cost': 104.49260242094157, 'current_price': 96.68448762599974}, 'RNET': {'quantity': 0, 'avg_cost': 101.46627572543576, 'current_price': 89.88439813004855}}"
20161019,1405165.1554917572,688468.2984306593,"{'GOL': {'quantity': 0, 'avg_cost': 112.89612974941386, 'current_price': 96.88108469523904}, 'NIU': {'quantity': 0, 'avg_cost': 111.35931219415794, 'current_price': 111.35931219415794}, 'VMD': {'quantity': 0, 'avg_cost': 93.03030303030303, 'current_price': 106.84039087947883}, 'NET': {'quantity': 0, 'avg_cost': 95.34883720930233, 'current_price': 77.66666412353516}, 'MEC': {'quantity': 0, 'avg_cost': 85.3658484580521, 'current_price': 114.65720763034142}, 'MHNC': {'quantity': 0, 'avg_cost': 100.03751520360578, 'current_price': 100.11243614694334}, 'XSPA': {'quantity': 0, 'avg_cost': 89.57746263960716, 'current_price': 90.88050412545125}, 'DLY': {'quantity': 0, 'avg_cost': 116.2377630914008, 'current_price': 116.2377630914008}, 'VLRS': {'quantity': 0, 'avg_cost': 104.49260242094157, 'current_price': 96.68448762599974}, 'RNET': {'quantity': 0, 'avg_cost': 101.46627572543576, 'current_price': 89.88439813004855}}"
20161020,1387142.9520527706,688468.2984306593,"{'GOL': {'quantity': 0, 'avg_cost': 112.89612974941386, 'current_price': 96.88108469523904}, 'NIU': {'quantity': 0, 'avg_cost': 111.35931219415794, 'current_price': 111.35931219415794}, 'VMD': {'quantity': 0, 'avg_cost': 93.03030303030303, 'current_price': 106.84039087947883}, 'NET': {'quantity': 0, 'avg_cost': 95.34883720930233, 'current_price': 77.66666412353516}, 'MEC': {'quantity': 0, 'avg_cost': 85.3658484580521, 'current_price': 114.65720763034142}, 'MHNC': {'quantity': 0, 'avg_cost': 100.03751520360578, 'current_price': 100.11243614694334}, 'XSPA': {'quantity': 0, 'avg_cost': 89.57746263960716, 'current_price': 90.88050412545125}, 'DLY': {'quantity': 0, 'avg_cost': 116.2377630914008, 'current_price': 116.2377630914008}, 'VLRS': {'quantity': 0, 'avg_cost': 104.49260242094157, 'current_price': 96.68448762599974}, 'RNET': {'quantity': 0, 'avg_cost': 101.46627572543576, 'current_price': 89.88439813004855}}"
20161021,1373010.617654163,732052.5314418037,"{'MEC': {'quantity': 0, 'avg_cost': 85.3658484580521, 'current_price': 114.65720763034142}, 'VLRS': {'quantity': 0, 'avg_cost': 104.49260242094157, 'current_price': 96.68448762599974}, 'DRR': {'quantity': 0, 'avg_cost': 98.59154902551242, 'current_price': 96.70068256482861}, 'ELC': {'quantity': 0, 'avg_cost': 101.83788415322313, 'current_price': 97.472936471495}, 'TWNK': {'quantity': 0, 'avg_cost': 98.38022516796214, 'current_price': 99.48006568617818}, 'LBC': {'quantity': 0, 'avg_cost': 90.00000415438785, 'current_price': 80.0}, 'SBCF': {'quantity': 0, 'avg_cost': 100.5229526866686, 'current_price': 99.07514534989485}, 'FSLR': {'quantity': 0, 'avg_cost': 96.213021363027, 'current_price': 79.90159489061438}, 'LTM': {'quantity': 0, 'avg_cost': 99.07217147900262, 'current_price': 95.10926899591232}, 'SAVE': {'quantity': 0, 'avg_cost': 101.13660478763393, 'current_price': 97.85640209021597}}"
20161024,1374110.903321412,732052.5314418037,"{'MEC': {'quantity': 0, 'avg_cost': 85.3658484580521, 'current_price': 114.65720763034142}, 'VLRS': {'quantity': 0, 'avg_cost': 104.49260242094157, 'current_price': 96.68448762599974}, 'DRR': {'quantity': 0, 'avg_cost': 98.59154902551242, 'current_price': 96.70068256482861}, 'ELC': {'quantity': 0, 'avg_cost': 101.83788415322313, 'current_price': 97.472936471495}, 'TWNK': {'quantity': 0, 'avg_cost': 98.38022516796214, 'current_price': 99.48006568617818}, 'LBC': {'quantity': 0, 'avg_cost': 90.00000415438785, 'current_price': 80.0}, 'SBCF': {'quantity': 0, 'avg_cost': 100.5229526866686, 'current_price': 99.07514534989485}, 'FSLR': {'quantity': 0, 'avg_cost': 96.213021363027, 'current_price': 79.90159489061438}, 'LTM': {'quantity': 0, 'avg_cost': 99.07217147900262, 'current_price': 95.10926899591232}, 'SAVE': {'quantity': 0, 'avg_cost': 101.13660478763393, 'current_price': 97.85640209021597}}"
20161025,1353104.019316269,732052.5314418037,"{'MEC': {'quantity': 0, 'avg_cost': 85.3658484580521, 'current_price': 114.65720763034142}, 'VLRS': {'quantity': 0, 'avg_cost': 104.49260242094157, 'current_price': 96.68448762599974}, 'DRR': {'quantity': 0, 'avg_cost': 98.59154902551242, 'current_price': 96.70068256482861}, 'ELC': {'quantity': 0, 'avg_cost': 101.83788415322313, 'current_price': 97.472936471495}, 'TWNK': {'quantity': 0, 'avg_cost': 98.38022516796214, 'current_price': 99.48006568617818}, 'LBC': {'quantity': 0, 'avg_cost': 90.00000415438785, 'current_price': 80.0}, 'SBCF': {'quantity': 0, 'avg_cost': 100.5229526866686, 'current_price': 99.07514534989485}, 'FSLR': {'quantity': 0, 'avg_cost': 96.213021363027, 'current_price': 79.90159489061438}, 'LTM': {'quantity': 0, 'avg_cost': 99.07217147900262, 'current_price': 95.10926899591232}, 'SAVE': {'quantity': 0, 'avg_cost': 101.13660478763393, 'current_price': 97.85640209021597}}"
20161026,1344807.7515182546,732052.5314418037,"{'MEC': {'quantity': 0, 'avg_cost': 85.3658484580521, 'current_price': 114.65720763034142}, 'VLRS': {'quantity': 0, 'avg_cost': 104.49260242094157, 'current_price': 96.68448762599974}, 'DRR': {'quantity': 0, 'avg_cost': 98.59154902551242, 'current_price': 96.70068256482861}, 'ELC': {'quantity': 0, 'avg_cost': 101.83788415322313, 'current_price': 97.472936471495}, 'TWNK': {'quantity': 0, 'avg_cost': 98.38022516796214, 'current_price': 99.48006568617818}, 'LBC': {'quantity': 0, 'avg_cost': 90.00000415438785, 'current_price': 80.0}, 'SBCF': {'quantity': 0, 'avg_cost': 100.5229526866686, 'current_price': 99.07514534989485}, 'FSLR': {'quantity': 0, 'avg_cost': 96.213021363027, 'current_price': 79.90159489061438}, 'LTM': {'quantity': 0, 'avg_cost': 99.07217147900262, 'current_price': 95.10926899591232}, 'SAVE': {'quantity': 0, 'avg_cost': 101.13660478763393, 'current_price': 97.85640209021597}}"
20161027,1361546.7593044764,732052.5314418037,"{'MEC': {'quantity': 0, 'avg_cost': 85.3658484580521, 'current_price': 114.65720763034142}, 'VLRS': {'quantity': 0, 'avg_cost': 104.49260242094157, 'current_price': 96.68448762599974}, 'DRR': {'quantity': 0, 'avg_cost': 98.59154902551242, 'current_price': 96.70068256482861}, 'ELC': {'quantity': 0, 'avg_cost': 101.83788415322313, 'current_price': 97.472936471495}, 'TWNK': {'quantity': 0, 'avg_cost': 98.38022516796214, 'current_price': 99.48006568617818}, 'LBC': {'quantity': 0, 'avg_cost': 90.00000415438785, 'current_price': 80.0}, 'SBCF': {'quantity': 0, 'avg_cost': 100.5229526866686, 'current_price': 99.07514534989485}, 'FSLR': {'quantity': 0, 'avg_cost': 96.213021363027, 'current_price': 79.90159489061438}, 'LTM': {'quantity': 0, 'avg_cost': 99.07217147900262, 'current_price': 95.10926899591232}, 'SAVE': {'quantity': 0, 'avg_cost': 101.13660478763393, 'current_price': 97.85640209021597}}"
20161028,1373239.9066412314,713281.7622261749,"{'LBC': {'quantity': 0, 'avg_cost': 90.00000415438785, 'current_price': 80.0}, 'FSBC': {'quantity': 0, 'avg_cost': 101.76922724797176, 'current_price': 102.72109314291565}, 'NET': {'quantity': 0, 'avg_cost': 114.65720763034142, 'current_price': 80.0}, 'AKAM': {'quantity': 0, 'avg_cost': 94.13530841261021, 'current_price': 99.45296972541135}, 'AMEH': {'quantity': 0, 'avg_cost': 105.88235294117648, 'current_price': 100.0}, 'BBW': {'quantity': 0, 'avg_cost': 103.19999694824217, 'current_price': 112.40310409909935}, 'FUD': {'quantity': 0, 'avg_cost': 97.75060648088127, 'current_price': 99.89994768387855}, 'NEX': {'quantity': 0, 'avg_cost': 104.3177160259018, 'current_price': 100.2656060998004}, 'NEW': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 138.27892409239354}, 'FRPH': {'quantity': 0, 'avg_cost': 99.21752740522626, 'current_price': 126.18296226277728}}"
